"Other couples";"Albertslund";1076;1127
"Other couples";"Ballerup";2277;2398
"Other couples";"Brøndby";1547;1533
"Other couples";"Gentofte";2979;3037
"Other couples";"Gladsaxe";3332;3379
"Other couples";"Glostrup";1259;1279
"Other couples";"Herlev";1437;1413
"Other couples";"Hvidovre";2677;2716
"Other couples";"Høje-Taastrup";2108;2192
"Other couples";"Ishøj";908;908
"Other couples";"Lyngby-Taarbæk";2701;2715
"Other couples";"Rødovre";2158;2124
"Other couples";"Vallensbæk";618;626
"Other couples";"Allerød";900;931
"Other couples";"Egedal";1710;1777
"Other couples";"Fredensborg";1608;1620
"Other couples";"Frederikssund";1841;1880
"Other couples";"Furesø";1515;1516
"Other couples";"Gribskov";1610;1645
"Other couples";"Halsnæs";1339;1373
"Other couples";"Helsingør";2863;2902
"Other couples";"Hillerød";2248;2339
"Other couples";"Hørsholm";916;949
"Other couples";"Rudersdal";2255;2334
"Other couples";"Bornholm";2111;2052
"Other couples";"Christiansø";2;3
"Other couples";"Region Sjælland";43962;44645
"Other couples";"Greve";2075;2094
"Other couples";"Køge";3012;3088
"Other couples";"Lejre";1171;1172
"Other couples";"Roskilde";4295;4415
"Other couples";"Solrød";1051;1088
"Other couples";"Faxe";1934;1946
"Other couples";"Guldborgsund";3470;3490
"Other couples";"Holbæk";3723;3836
"Other couples";"Kalundborg";2680;2747
"Other couples";"Lolland";2334;2339
"Other couples";"Næstved";4894;4895
"Other couples";"Odsherred";1585;1634
"Other couples";"Ringsted";1862;1856
"Other couples";"Slagelse";4798;4780
"Other couples";"Sorø";1606;1666
"Other couples";"Stevns";1128;1191
"Other couples";"Vordingborg";2344;2408
"Other couples";"Region Syddanmark";71804;73048
"Other couples";"Assens";2319;2317
"Other couples";"Faaborg-Midtfyn";2865;2971
"Other couples";"Kerteminde";1259;1289
"Other couples";"Langeland";648;651
"Other couples";"Middelfart";2220;2276
"Other couples";"Nordfyns";1607;1607
"Other couples";"Nyborg";1695;1724
"Other couples";"Odense";14489;14771
"Other couples";"Svendborg";3110;3177
"Other couples";"Ærø";284;290
"Other couples";"Billund";1379;1374
"Other couples";"Esbjerg";7299;7441
